condition,condition_group,sex,min_age,max_age,value,diagnoses,mortality_flag
Cardiovascular diseases: Ischaemic stroke,chronic,2,55,64,0.02,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,2,55,64,0.02,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,1,65,74,0.03,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,1,65,74,0.03,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,2,65,74,0.01,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,2,65,74,0.01,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,1,75,84,0.02,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,1,75,84,0.02,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,2,75,84,0.01,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,2,75,84,0.01,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,1,85,1000,0.02,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,1,85,1000,0.02,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,2,85,1000,0.01,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,2,85,1000,0.01,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,1,16,24,0.1,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,1,16,24,0.1,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,2,16,24,0.06,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,2,16,24,0.06,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,1,25,34,0.14,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,1,25,34,0.14,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,2,25,34,0.08,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,2,25,34,0.08,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,1,35,44,0.16,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,1,35,44,0.16,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,2,35,44,0.09,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,2,35,44,0.09,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,1,45,54,0.17,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,1,45,54,0.17,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,2,45,54,0.12,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,2,45,54,0.12,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,1,55,64,0.18,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,1,55,64,0.18,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,2,55,64,0.11,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,2,55,64,0.11,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,1,65,74,0.17,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,1,65,74,0.17,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,2,65,74,0.08,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,2,65,74,0.08,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,1,75,84,0.13,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,1,75,84,0.13,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,2,75,84,0.06,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,2,75,84,0.06,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,1,85,1000,0.1,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,1,85,1000,0.1,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,2,85,1000,0.03,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,2,85,1000,0.03,I69[34],FALSE
Cardiovascular diseases: Oesophageal varices,chronic,1,16,24,0.52,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,2,16,24,0.64,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,1,25,34,0.63,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,2,25,34,0.68,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,1,35,44,0.67,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,2,35,44,0.73,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,1,45,54,0.69,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,2,45,54,0.78,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,1,55,64,0.72,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,2,55,64,0.77,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,1,65,74,0.69,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,2,65,74,0.7,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,1,75,84,0.61,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,2,75,84,0.64,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,1,85,1000,0.47,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,2,85,1000,0.5,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,1,16,24,-0.17,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,2,16,24,-0.09,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,1,25,34,-0.03,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,2,25,34,-0.05,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,1,35,44,0.11,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,2,35,44,0.08,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,1,45,54,0.13,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,2,45,54,0.24,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,1,55,64,0.21,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,2,55,64,0.18,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,1,65,74,0.13,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,2,65,74,0.02,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,1,75,84,-0.04,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,2,75,84,-0.1,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,1,85,1000,-0.34,I85,NA
Cardiovascular diseases: Oesophageal varices,chronic,2,85,1000,-0.22,I85,NA
Respiratory infections: Pneumonia,chronic,1,16,24,0.05,J1[01]0,NA
Respiratory infections: Pneumonia,chronic,1,16,24,0.05,J1[2-58],NA
Respiratory infections: Pneumonia,chronic,2,16,24,0.02,J1[01]0,NA
Respiratory infections: Pneumonia,chronic,2,16,24,0.02,J1[2-58],NA
Respiratory infections: Pneumonia,chronic,1,25,34,0.07,J1[01]0,NA
Respiratory infections: Pneumonia,chronic,1,25,34,0.07,J1[2-58],NA
Respiratory infections: Pneumonia,chronic,2,25,34,0.02,J1[01]0,NA
Respiratory infections: Pneumonia,chronic,2,25,34,0.02,J1[2-58],NA
Respiratory infections: Pneumonia,chronic,1,35,44,0.09,J1[01]0,NA
Respiratory infections: Pneumonia,chronic,1,35,44,0.09,J1[2-58],NA
Respiratory infections: Pneumonia,chronic,2,35,44,0.03,J1[01]0,NA
Respiratory infections: Pneumonia,chronic,2,35,44,0.03,J1[2-58],NA
Respiratory infections: Pneumonia,chronic,1,45,54,0.09,J1[01]0,NA
Respiratory infections: Pneumonia,chronic,1,45,54,0.09,J1[2-58],NA
Respiratory infections: Pneumonia,chronic,2,45,54,0.06,J1[01]0,NA
Respiratory infections: Pneumonia,chronic,2,45,54,0.06,J1[2-58],NA
Respiratory infections: Pneumonia,chronic,1,55,64,0.11,J1[01]0,NA
Respiratory infections: Pneumonia,chronic,1,55,64,0.11,J1[2-58],NA
Respiratory infections: Pneumonia,chronic,2,55,64,0.05,J1[01]0,NA
Respiratory infections: Pneumonia,chronic,2,55,64,0.05,J1[2-58],NA
Respiratory infections: Pneumonia,chronic,1,65,74,0.09,J1[01]0,NA
Respiratory infections: Pneumonia,chronic,1,65,74,0.09,J1[2-58],NA
Respiratory infections: Pneumonia,chronic,2,65,74,0.03,J1[01]0,NA
Respiratory infections: Pneumonia,chronic,2,65,74,0.03,J1[2-58],NA
Respiratory infections: Pneumonia,chronic,1,75,84,0.07,J1[01]0,NA
Respiratory infections: Pneumonia,chronic,1,75,84,0.07,J1[2-58],NA
Respiratory infections: Pneumonia,chronic,2,75,84,0.01,J1[01]0,NA
Respiratory infections: Pneumonia,chronic,2,75,84,0.01,J1[2-58],NA
Respiratory infections: Pneumonia,chronic,1,85,1000,0.04,J1[01]0,NA
Respiratory infections: Pneumonia,chronic,1,85,1000,0.04,J1[2-58],NA
Respiratory infections: Pneumonia,chronic,2,85,1000,0,J1[01]0,NA
Respiratory infections: Pneumonia,chronic,2,85,1000,0,J1[2-58],NA
Digestive diseases: Unspecified liver disease,chronic,1,16,24,0.52,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,2,16,24,0.64,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,1,25,34,0.63,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,2,25,34,0.68,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,1,35,44,0.67,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,2,35,44,0.73,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,1,45,54,0.69,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,2,45,54,0.78,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,1,55,64,0.72,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,2,55,64,0.77,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,1,65,74,0.69,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,2,65,74,0.7,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,1,75,84,0.61,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,2,75,84,0.64,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,1,85,1000,0.47,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,2,85,1000,0.5,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,1,16,24,-0.17,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,2,16,24,-0.09,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,1,25,34,-0.03,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,2,25,34,-0.05,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,1,35,44,0.11,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,2,35,44,0.08,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,1,45,54,0.13,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,2,45,54,0.24,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,1,55,64,0.21,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,2,55,64,0.18,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,1,65,74,0.13,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,2,65,74,0.02,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,1,75,84,-0.04,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,2,75,84,-0.1,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,1,85,1000,-0.34,K7[34],NA
Digestive diseases: Unspecified liver disease,chronic,2,85,1000,-0.22,K7[34],NA
Digestive diseases: Cholelithiasis (gall stones),chronic,1,16,24,-0.01,K80,NA
Digestive diseases: Cholelithiasis (gall stones),chronic,2,16,24,-0.01,K80,NA
Digestive diseases: Cholelithiasis (gall stones),chronic,1,25,34,-0.01,K80,NA
Digestive diseases: Cholelithiasis (gall stones),chronic,2,25,34,-0.01,K80,NA
Digestive diseases: Cholelithiasis (gall stones),chronic,1,35,44,-0.01,K80,NA
Digestive diseases: Cholelithiasis (gall stones),chronic,2,35,44,-0.01,K80,NA
Digestive diseases: Cholelithiasis (gall stones),chronic,1,45,54,-0.01,K80,NA
Digestive diseases: Cholelithiasis (gall stones),chronic,2,45,54,-0.01,K80,NA
Digestive diseases: Cholelithiasis (gall stones),chronic,1,55,64,-0.01,K80,NA
Digestive diseases: Cholelithiasis (gall stones),chronic,2,55,64,-0.01,K80,NA
Digestive diseases: Cholelithiasis (gall stones),chronic,1,65,74,-0.01,K80,NA
Digestive diseases: Cholelithiasis (gall stones),chronic,2,65,74,-0.01,K80,NA
Digestive diseases: Cholelithiasis (gall stones),chronic,1,75,84,-0.01,K80,NA
Digestive diseases: Cholelithiasis (gall stones),chronic,2,75,84,-0.01,K80,NA
Digestive diseases: Cholelithiasis (gall stones),chronic,1,85,1000,-0.01,K80,NA
Digestive diseases: Cholelithiasis (gall stones),chronic,2,85,1000,-0.01,K80,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,1,16,24,0.28,K85,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,1,16,24,0.28,K861,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,2,16,24,0.16,K85,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,2,16,24,0.16,K861,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,1,25,34,0.37,K85,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,1,25,34,0.37,K861,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,2,25,34,0.19,K85,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,2,25,34,0.19,K861,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,1,35,44,0.43,K85,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,1,35,44,0.43,K861,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,2,35,44,0.24,K85,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,2,35,44,0.24,K861,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,1,45,54,0.44,K85,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,1,45,54,0.44,K861,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,2,45,54,0.32,K85,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,2,45,54,0.32,K861,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,1,55,64,0.48,K85,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,1,55,64,0.48,K861,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,2,55,64,0.29,K85,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,2,55,64,0.29,K861,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,1,65,74,0.44,K85,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,1,65,74,0.44,K861,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,2,65,74,0.21,K85,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,2,65,74,0.21,K861,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,1,75,84,0.35,K85,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,1,75,84,0.35,K861,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,2,75,84,0.15,K85,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,2,75,84,0.15,K861,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,1,85,1000,0.25,K85,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,1,85,1000,0.25,K861,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,2,85,1000,0.08,K85,NA
Digestive diseases: Acute and chronic pancreatitis,chronic,2,85,1000,0.08,K861,NA
Pregnancy and childbirth: Spontaneous abortion,chronic,2,16,24,0.09,O03,NA
Pregnancy and childbirth: Spontaneous abortion,chronic,2,25,34,0.1,O03,NA
Pregnancy and childbirth: Spontaneous abortion,chronic,2,35,44,0.1,O03,NA
Pregnancy and childbirth: Spontaneous abortion,chronic,2,45,54,0.11,O03,NA
Pregnancy and childbirth: Low birth weight,chronic,2,16,24,0.01,P05-P07,NA
Pregnancy and childbirth: Low birth weight,chronic,2,25,34,0.02,P05-P07,NA
Pregnancy and childbirth: Low birth weight,chronic,2,35,44,0.05,P05-P07,NA
Pregnancy and childbirth: Low birth weight,chronic,2,45,54,0.09,P05-P07,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,16,24,0.12,V0[2-4][19],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,16,24,0.12,V09[23],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,16,24,0.12,V12[3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,16,24,0.12,V19[4-6],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,16,24,0.12,V2[0-8][3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,16,24,0.12,V29[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,16,24,0.12,V[3-7]_[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,16,24,0.12,V80[3-5],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,16,24,0.12,V8[12]1,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,16,24,0.12,V8[3-6][0-3],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,16,24,0.12,V87[^9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,16,24,0.12,V892,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,16,24,0.02,V0[2-4][19],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,16,24,0.02,V09[23],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,16,24,0.02,V12[3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,16,24,0.02,V19[4-6],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,16,24,0.02,V2[0-8][3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,16,24,0.02,V29[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,16,24,0.02,V[3-7]_[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,16,24,0.02,V80[3-5],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,16,24,0.02,V8[12]1,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,16,24,0.02,V8[3-6][0-3],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,16,24,0.02,V87[^9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,16,24,0.02,V892,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,25,34,0.22,V0[2-4][19],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,25,34,0.22,V09[23],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,25,34,0.22,V12[3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,25,34,0.22,V19[4-6],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,25,34,0.22,V2[0-8][3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,25,34,0.22,V29[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,25,34,0.22,V[3-7]_[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,25,34,0.22,V80[3-5],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,25,34,0.22,V8[12]1,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,25,34,0.22,V8[3-6][0-3],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,25,34,0.22,V87[^9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,25,34,0.22,V892,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,25,34,0.03,V0[2-4][19],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,25,34,0.03,V09[23],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,25,34,0.03,V12[3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,25,34,0.03,V19[4-6],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,25,34,0.03,V2[0-8][3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,25,34,0.03,V29[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,25,34,0.03,V[3-7]_[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,25,34,0.03,V80[3-5],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,25,34,0.03,V8[12]1,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,25,34,0.03,V8[3-6][0-3],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,25,34,0.03,V87[^9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,25,34,0.03,V892,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,35,44,0.31,V0[2-4][19],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,35,44,0.31,V09[23],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,35,44,0.31,V12[3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,35,44,0.31,V19[4-6],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,35,44,0.31,V2[0-8][3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,35,44,0.31,V29[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,35,44,0.31,V[3-7]_[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,35,44,0.31,V80[3-5],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,35,44,0.31,V8[12]1,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,35,44,0.31,V8[3-6][0-3],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,35,44,0.31,V87[^9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,35,44,0.31,V892,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,35,44,0.05,V0[2-4][19],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,35,44,0.05,V09[23],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,35,44,0.05,V12[3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,35,44,0.05,V19[4-6],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,35,44,0.05,V2[0-8][3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,35,44,0.05,V29[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,35,44,0.05,V[3-7]_[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,35,44,0.05,V80[3-5],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,35,44,0.05,V8[12]1,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,35,44,0.05,V8[3-6][0-3],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,35,44,0.05,V87[^9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,35,44,0.05,V892,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,45,54,0.33,V0[2-4][19],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,45,54,0.33,V09[23],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,45,54,0.33,V12[3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,45,54,0.33,V19[4-6],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,45,54,0.33,V2[0-8][3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,45,54,0.33,V29[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,45,54,0.33,V[3-7]_[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,45,54,0.33,V80[3-5],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,45,54,0.33,V8[12]1,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,45,54,0.33,V8[3-6][0-3],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,45,54,0.33,V87[^9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,45,54,0.33,V892,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,45,54,0.1,V0[2-4][19],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,45,54,0.1,V09[23],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,45,54,0.1,V12[3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,45,54,0.1,V19[4-6],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,45,54,0.1,V2[0-8][3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,45,54,0.1,V29[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,45,54,0.1,V[3-7]_[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,45,54,0.1,V80[3-5],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,45,54,0.1,V8[12]1,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,45,54,0.1,V8[3-6][0-3],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,45,54,0.1,V87[^9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,45,54,0.1,V892,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,55,64,0.38,V0[2-4][19],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,55,64,0.38,V09[23],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,55,64,0.38,V12[3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,55,64,0.38,V19[4-6],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,55,64,0.38,V2[0-8][3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,55,64,0.38,V29[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,55,64,0.38,V[3-7]_[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,55,64,0.38,V80[3-5],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,55,64,0.38,V8[12]1,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,55,64,0.38,V8[3-6][0-3],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,55,64,0.38,V87[^9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,1,55,64,0.38,V892,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,55,64,0.06,V0[2-4][19],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,55,64,0.06,V09[23],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,55,64,0.06,V12[3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,55,64,0.06,V19[4-6],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,55,64,0.06,V2[0-8][3-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,55,64,0.06,V29[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,55,64,0.06,V[3-7]_[4-9],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,55,64,0.06,V80[3-5],NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,55,64,0.06,V8[12]1,NA
Unintentional injuries: Road/pedestrian traffic accidents,acute,2,55,64,0.06,V8[3-6][0-3],NA
